City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
77,Kirakira,SB,82.22,overcast clouds,-10.4544,161.9205,SanBiz Lodge
84,Bakel,SN,82.11,overcast clouds,14.905,-12.4568,Ablaye Diallo Bakel
85,Mayumba,GA,78.67,light rain,-3.432,10.6554,LIKWALE LODGE
98,Yarada,IN,77.32,mist,17.65,83.2667,Vishranti
100,La Huerta,MX,82.89,overcast clouds,19.4667,-104.65,HOTEL REAL ASTURIAS
102,Liberia,LR,75.45,overcast clouds,6.5,-9.5,
106,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
114,Saint-Philippe,RE,76.55,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
115,Biak,ID,76.05,overcast clouds,-0.9131,122.8766,Penginapan Kim
117,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
118,Faanui,PF,81.34,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
120,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
121,Kaoma,ZM,76.59,overcast clouds,-14.7833,24.8,KAOMA AIRPORT
122,Gold Coast,AU,79.16,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
126,Itarema,BR,80.91,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
128,Tecolutla,MX,85.86,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
129,Yenagoa,NG,77.9,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
130,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
136,Picota,PE,86.49,moderate rain,-6.9197,-76.3304,Hospedaje Vanessa
138,Luanda,AO,78.12,light rain,-8.8368,13.2343,Hotel Fórum
143,Tevaitoa,PF,81.54,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
150,Alofi,NU,80.49,light rain,-19.0595,-169.9187,Taloa Heights
151,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
152,Bridgetown,BB,81.09,broken clouds,13.1,-59.6167,Hilton Barbados Resort
173,Batticaloa,LK,77.77,clear sky,7.7102,81.6924,Grand Star Guest House
174,Obregon,NI,89.69,clear sky,11.9566,-85.9636,Hostal Casa Aryen
175,Kavieng,PG,82.65,moderate rain,-2.5744,150.7967,Nusa Island Retreat
177,Port Moresby,PG,81.82,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
180,Mopti,ML,77.02,scattered clouds,14.6667,-4.0,
181,Barao De Melgaco,BR,77.52,moderate rain,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
188,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
190,Lompoc,US,82.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
192,Vanimo,PG,84.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
193,Puerto Rico,AR,80.83,scattered clouds,-26.796,-55.024,Hotel Cabañas del Prado
195,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
197,Akyab,MM,76.19,scattered clouds,20.15,92.9,Hotel Memory
199,Cabo San Lucas,MX,82.06,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
201,Hilo,US,76.73,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
205,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
215,San Jose De Guanipa,VE,79.39,broken clouds,8.8872,-64.1651,HOTEL 283 SUITES
217,Bandarbeyla,SO,76.21,clear sky,9.4942,50.8122,JABIR HOTEL
219,Tual,ID,82.44,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
223,San Patricio,US,82.81,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
226,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
231,Pahrump,US,75.25,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
234,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
241,Karratha,AU,87.13,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
243,Banjar,ID,78.66,moderate rain,-8.19,114.9675,The Hamsa Resort
244,Vao,NC,76.24,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
245,Denpasar,ID,78.46,heavy intensity rain,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
247,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
251,Inirida,CO,76.33,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
254,Aitape,PG,84.63,overcast clouds,-3.1374,142.3475,
262,Makurdi,NG,80.6,broken clouds,7.7411,8.5121,Doo Palace Hotel
267,Santa Maria,BR,81.7,few clouds,-29.6842,-53.8069,Hotel Morotin
268,Merauke,ID,81.23,overcast clouds,-8.4667,140.3333,
276,Saint-Pierre,RE,76.64,clear sky,-21.3393,55.4781,Lindsey Hôtel
277,Meulaboh,ID,75.85,overcast clouds,4.1363,96.1285,Kost Pria
289,Coruripe,BR,77.88,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
297,Itacoatiara,BR,80.26,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
301,Namwala,ZM,76.86,overcast clouds,-15.7504,26.4384,Corner Point Lodge
305,Wamba,NG,77.31,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
308,Porto De Moz,BR,75.27,moderate rain,-1.7483,-52.2383,Dormitório labelle
311,Katobu,ID,78.6,light rain,-4.9408,122.5276,La Ode Husein
312,Cozumel,MX,82.47,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
316,Amboasary,MG,76.84,clear sky,-25.0333,46.3833,DISCOVERY AMBOASARY
325,Hithadhoo,MV,81.27,overcast clouds,-0.6,73.0833,Scoop Guest House
326,Puntarenas,CR,89.53,scattered clouds,9.9763,-84.8384,Michael's Surfside Hotel
327,La Cruz,MX,81.46,overcast clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
329,Balikpapan,ID,77.99,moderate rain,-1.2675,116.8289,ibis Balikpapan
330,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
337,Mogadishu,SO,79.32,broken clouds,2.0371,45.3438,Hotel Juba
342,Boa Vista,BR,85.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
344,Gorontalo,ID,78.64,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
345,Wajir,KE,78.75,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
351,Pak Phanang,TH,75.07,broken clouds,8.3511,100.202,Green Park Inn Hotel
356,Nhulunbuy,AU,84.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
357,Diapaga,BF,76.21,clear sky,12.0708,1.7889,
358,Matara,LK,75.33,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
361,Nacala,MZ,77.22,scattered clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
366,Bonfim,BR,82.72,overcast clouds,3.0833,-59.95,
372,Kiunga,PG,80.06,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
374,Pemangkat,ID,79.45,overcast clouds,1.1667,108.9667,Ramah Kost KITA
382,Byron Bay,AU,75.87,light rain,-28.65,153.6167,Backpackers Inn
