City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Maple Creek,CA,49.9168,-109.4848,2.97,78,100,12.66,overcast clouds
106,Vaini,TO,-21.2,-175.2,80.76,89,75,13.8,broken clouds
107,Geraldton,AU,-28.7667,114.6,67.12,82,1,8.05,clear sky
108,Grindavik,IS,63.8424,-22.4338,40.95,93,75,17.27,moderate rain
109,Ponta Do Sol,PT,32.6667,-17.1,66.83,73,33,8.86,scattered clouds
110,Guerrero Negro,MX,27.9769,-114.0611,68.65,66,1,15.68,clear sky
111,Jamestown,US,42.097,-79.2353,43.92,49,90,13.0,overcast clouds
112,Castro,BR,-24.7911,-50.0119,64.58,86,91,4.59,overcast clouds
113,Klaksvik,FO,62.2266,-6.589,38.32,62,37,17.38,scattered clouds
114,Saint-Philippe,RE,-21.3585,55.7679,76.55,81,37,10.27,scattered clouds
115,Biak,ID,-0.9131,122.8766,76.05,90,100,6.71,overcast clouds
116,Staryy Nadym,RU,65.6118,72.6842,-28.34,100,28,7.11,scattered clouds
117,San Cristobal,VE,7.7669,-72.225,77.18,57,70,3.13,broken clouds
118,Faanui,PF,-16.4833,-151.75,81.34,66,34,17.13,scattered clouds
119,Ladario,BR,-19.0047,-57.6017,73.22,99,100,8.95,light rain
120,Mount Isa,AU,-20.7333,139.5,76.77,65,99,16.11,overcast clouds
121,Kaoma,ZM,-14.7833,24.8,76.59,50,100,9.55,overcast clouds
122,Gold Coast,AU,-28.0,153.4333,79.16,73,66,3.0,broken clouds
123,Cranbrook,CA,49.4999,-115.7688,27.84,68,20,3.44,few clouds
124,Lebu,CL,-37.6167,-73.65,62.98,69,0,14.52,clear sky
125,Torbay,CA,47.6666,-52.7314,32.76,73,20,6.91,few clouds
126,Itarema,BR,-2.9248,-39.9167,80.91,80,8,16.6,clear sky
127,Wanning,CN,18.8003,110.3967,61.93,71,64,9.08,broken clouds
128,Tecolutla,MX,20.4833,-97.0167,85.86,73,7,12.17,clear sky
129,Yenagoa,NG,4.9247,6.2642,77.9,89,100,4.99,overcast clouds
130,Georgetown,MY,5.4112,100.3354,77.9,80,20,5.75,few clouds
131,Tuatapere,NZ,-46.1333,167.6833,54.82,53,87,6.49,overcast clouds
132,Sherbakul,RU,54.6316,72.3963,22.68,90,100,8.48,overcast clouds
133,Kodiak,US,57.79,-152.4072,33.31,75,90,5.75,light snow
134,Mandali,IQ,33.7499,45.5541,59.99,38,76,3.62,broken clouds
135,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,76,40,8.05,scattered clouds
136,Picota,PE,-6.9197,-76.3304,86.49,65,95,1.12,moderate rain
137,Bengkulu,ID,-3.8004,102.2655,74.91,89,95,6.73,overcast clouds
138,Luanda,AO,-8.8368,13.2343,78.12,85,86,10.67,light rain
139,Broken Hill,AU,-31.95,141.4333,73.11,28,40,8.05,scattered clouds
140,Tambopata,PE,-12.7333,-69.1833,73.29,94,90,4.61,moderate rain
141,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,59,75,8.95,broken clouds
142,Dikson,RU,73.5069,80.5464,-1.03,94,100,9.22,overcast clouds
143,Tevaitoa,PF,-16.7833,-151.5,81.54,66,66,17.31,broken clouds
144,Fortuna,US,40.5982,-124.1573,55.33,93,90,1.01,overcast clouds
145,Kodinsk,RU,58.6881,99.1844,22.37,97,100,2.08,light snow
146,Auch,FR,43.65,0.5833,44.26,96,31,5.99,light rain
147,Nemuro,JP,43.3236,145.575,40.39,71,2,12.24,clear sky
148,Loreto,MX,22.2667,-101.9667,71.26,21,99,12.84,overcast clouds
149,Ancud,CL,-41.8697,-73.8203,74.73,62,45,5.97,scattered clouds
150,Alofi,NU,-19.0595,-169.9187,80.49,78,78,19.57,light rain
151,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,75,9.22,broken clouds
152,Bridgetown,BB,13.1,-59.6167,81.09,69,75,20.71,broken clouds
153,Ormara,PK,25.2088,64.6357,72.37,28,0,12.28,clear sky
154,Senneterre,CA,48.3835,-77.2328,8.82,88,100,4.18,overcast clouds
155,Santiago,CL,-33.4569,-70.6483,90.18,26,0,17.27,clear sky
156,Chapleau,CA,47.8405,-83.4034,15.89,92,75,8.05,broken clouds
157,Saint-Francois,FR,46.4154,3.9054,38.64,92,75,11.5,broken clouds
158,Liverpool,GB,53.4106,-2.9779,40.77,90,75,0.0,broken clouds
159,Kamaishi,JP,39.2667,141.8833,39.96,77,6,8.05,clear sky
160,Sungaipenuh,ID,-2.0833,101.3833,63.72,96,99,1.28,overcast clouds
161,Makali,SL,8.6333,-11.6667,72.88,89,20,1.63,few clouds
162,Meadow Lake,US,34.8014,-106.5436,65.17,25,0,10.56,clear sky
163,Coihaique,CL,-45.5752,-72.0662,69.75,46,75,6.91,broken clouds
164,Dnipryany,UA,46.7463,33.2729,39.31,83,99,9.08,overcast clouds
165,Qaqortoq,GL,60.7167,-46.0333,27.1,79,100,30.6,overcast clouds
166,Talcahuano,CL,-36.7167,-73.1167,65.88,59,0,14.97,clear sky
167,Constitucion,CL,-35.3333,-72.4167,66.34,62,6,4.72,clear sky
168,Bayan,CN,46.0833,127.4,18.82,93,100,7.02,overcast clouds
169,Yerbogachen,RU,61.2767,108.0108,-21.89,100,95,2.51,overcast clouds
170,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,88,75,5.01,broken clouds
171,Chingirlau,KZ,51.095,54.0814,31.87,99,100,8.1,light snow
172,Caravelas,BR,-17.7125,-39.2481,74.71,85,0,5.06,clear sky
173,Batticaloa,LK,7.7102,81.6924,77.77,85,3,3.31,clear sky
174,Obregon,NI,11.9566,-85.9636,89.69,59,4,14.05,clear sky
175,Kavieng,PG,-2.5744,150.7967,82.65,80,95,5.75,moderate rain
176,Nara,JP,34.6851,135.8049,48.97,71,95,2.15,moderate rain
177,Port Moresby,PG,-9.4431,147.1797,81.82,78,75,4.61,broken clouds
178,Shelburne,CA,44.0787,-80.2041,30.09,94,100,15.55,snow
179,Plettenberg Bay,ZA,-34.0527,23.3716,65.26,84,97,12.88,overcast clouds
180,Mopti,ML,14.6667,-4.0,77.02,14,40,10.25,scattered clouds
181,Barao De Melgaco,BR,-16.1944,-55.9675,77.52,80,78,2.93,moderate rain
182,Portland,US,45.5234,-122.6762,48.51,79,75,1.01,broken clouds
183,Kaitangata,NZ,-46.2817,169.8464,53.92,57,96,7.34,overcast clouds
184,Boone,US,39.0334,-92.3335,68.25,71,94,3.0,overcast clouds
185,Khandbari,NP,27.3747,87.2039,57.76,71,16,3.22,few clouds
186,Fort Frances,CA,48.5999,-93.4003,25.02,59,90,8.01,light snow
187,Chuy,UY,-33.6971,-53.4616,65.3,82,98,7.87,overcast clouds
188,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,57,10.0,broken clouds
189,Palmer,US,42.1584,-72.3287,40.03,59,75,5.75,broken clouds
190,Lompoc,US,34.6391,-120.4579,82.02,59,1,14.97,clear sky
191,Washington,US,47.5001,-120.5015,39.69,55,88,2.46,overcast clouds
192,Vanimo,PG,-2.6741,141.3028,84.56,70,96,4.56,overcast clouds
193,Puerto Rico,AR,-26.796,-55.024,80.83,49,33,2.35,scattered clouds
194,Haines Junction,CA,60.7522,-137.5108,0.66,99,100,2.13,overcast clouds
195,Pitimbu,BR,-7.4706,-34.8086,81.19,78,48,14.63,scattered clouds
196,Masuda,JP,34.6667,131.85,40.73,76,7,5.35,clear sky
197,Akyab,MM,20.15,92.9,76.19,80,28,5.3,scattered clouds
198,Carnarvon,AU,-24.8667,113.6333,73.47,73,0,16.11,clear sky
199,Cabo San Lucas,MX,22.8909,-109.9124,82.06,49,75,1.01,broken clouds
200,Bardiyah,LY,31.7561,25.0865,60.67,66,0,9.44,clear sky
201,Hilo,US,19.7297,-155.09,76.73,88,75,13.8,heavy intensity rain
202,Eyrarbakki,IS,63.863,-21.1481,41.05,89,100,10.11,overcast clouds
203,Huntsville,US,34.7304,-86.5861,70.79,78,75,1.99,broken clouds
204,Malinovka,BY,53.8579,27.4374,24.3,95,100,4.56,light snow
205,Bathsheba,BB,13.2167,-59.5167,81.21,69,75,20.71,broken clouds
206,Rawson,AR,-43.3002,-65.1023,64.81,58,29,14.47,scattered clouds
207,Sinfra,CI,6.6167,-5.9167,74.57,85,73,3.78,broken clouds
208,Terrak,NO,65.087,12.3715,19.27,83,3,11.34,clear sky
209,Nome,US,64.5011,-165.4064,32.07,87,90,25.32,snow
210,Gimli,CA,50.6336,-96.9907,12.43,72,100,19.57,overcast clouds
211,Vardo,NO,70.3705,31.1107,10.15,78,19,22.3,few clouds
212,Narsaq,GL,60.9167,-46.05,26.82,68,100,21.85,overcast clouds
213,Almaznyy,RU,48.0448,40.045,33.94,96,100,3.15,overcast clouds
214,Pinheiro Machado,BR,-31.5783,-53.3811,64.06,90,43,9.51,scattered clouds
215,San Jose De Guanipa,VE,8.8872,-64.1651,79.39,65,67,10.98,broken clouds
216,Cracow,US,43.7424,-82.8199,33.15,100,90,13.8,snow
217,Bandarbeyla,SO,9.4942,50.8122,76.21,64,5,16.08,clear sky
218,Sorland,NO,67.667,12.6934,24.87,65,76,10.69,broken clouds
219,Tual,ID,-5.6667,132.75,82.44,78,99,13.87,overcast clouds
220,Najran,SA,17.4924,44.1277,54.25,38,0,1.48,clear sky
221,Nuuk,GL,64.1835,-51.7216,27.21,74,75,23.02,light shower snow
222,Mountain Home,US,43.133,-115.6912,47.68,43,1,25.32,clear sky
223,San Patricio,US,28.017,-97.5169,82.81,79,100,14.2,overcast clouds
224,Itoman,JP,26.1247,127.6694,66.97,65,20,5.75,few clouds
225,Teplyk,UA,48.6657,29.745,35.76,98,100,10.18,overcast clouds
226,Tiarei,PF,-17.5333,-149.3333,86.02,74,68,16.06,broken clouds
227,Jambi,ID,-1.6,103.6167,73.15,99,100,2.37,moderate rain
228,Naze,JP,28.3667,129.4833,63.52,71,71,17.54,broken clouds
229,Douentza,ML,14.9951,-2.9517,72.63,16,43,6.31,scattered clouds
230,Kirensk,RU,57.7853,108.1119,19.89,95,100,7.27,light snow
231,Pahrump,US,36.2083,-115.9839,75.25,12,5,3.0,clear sky
232,Leningradskiy,RU,69.3833,178.4167,-3.69,98,100,15.05,light snow
233,Plerin,FR,48.5425,-2.7798,47.68,76,75,4.0,broken clouds
234,Salalah,OM,17.0151,54.0924,75.29,33,0,8.05,clear sky
235,Komsomolskiy,UZ,40.4272,71.7189,40.42,75,100,4.61,mist
236,Dubbo,AU,-32.25,148.6167,57.33,94,90,13.8,light rain
237,Korgen,NO,66.0771,13.8153,17.31,89,3,7.45,clear sky
238,Marshfield,US,44.6689,-90.1718,31.95,86,90,4.61,overcast clouds
239,Hasaki,JP,35.7333,140.8333,45.28,62,100,9.71,overcast clouds
240,Longhua,CN,23.6137,114.1919,46.54,55,5,3.27,clear sky
241,Karratha,AU,-20.7377,116.8463,87.13,31,30,15.86,scattered clouds
242,Ilulissat,GL,69.2167,-51.1,28.42,86,75,16.11,light snow
243,Banjar,ID,-8.19,114.9675,78.66,94,100,5.82,moderate rain
244,Vao,NC,-22.6667,167.4833,76.24,81,100,16.89,overcast clouds
245,Denpasar,ID,-8.65,115.2167,78.46,94,75,17.27,heavy intensity rain
246,Bethel,US,41.3712,-73.414,43.12,52,1,4.61,clear sky
247,Vila Velha,BR,-20.3297,-40.2925,78.75,87,40,5.99,scattered clouds
248,High Level,CA,58.5169,-117.136,-14.69,76,1,0.0,clear sky
249,Esperance,AU,-33.8667,121.9,62.44,65,88,11.92,overcast clouds
250,Vestmanna,FO,62.1564,-7.1664,36.52,70,90,16.11,overcast clouds
251,Inirida,CO,3.8653,-67.9239,76.33,91,85,2.01,overcast clouds
252,Havoysund,NO,70.9963,24.6622,30.43,94,99,31.21,light snow
253,Yellowknife,CA,62.456,-114.3525,-19.59,84,20,3.44,few clouds
254,Aitape,PG,-3.1374,142.3475,84.63,73,93,4.07,overcast clouds
255,Ketchikan,US,55.3422,-131.6461,30.67,80,90,3.44,overcast clouds
256,Santa Rosa,PH,14.3122,121.1114,73.38,76,78,7.49,broken clouds
257,Athabasca,CA,54.7169,-113.2854,-0.58,67,42,8.03,scattered clouds
258,Abu Kamal,SY,34.4506,40.9171,52.79,43,9,6.82,clear sky
259,Payo,ID,-3.7508,103.6372,71.78,98,100,2.1,overcast clouds
260,Saryozek,KZ,44.3583,77.9753,36.03,65,100,3.0,overcast clouds
261,Rocha,UY,-34.4833,-54.3333,61.07,97,86,5.23,overcast clouds
262,Makurdi,NG,7.7411,8.5121,80.6,33,58,3.71,broken clouds
263,Felanitx,ES,39.4696,3.1483,52.95,64,34,8.12,scattered clouds
264,Launceston,AU,-41.45,147.1667,61.81,69,90,1.01,overcast clouds
265,Wyndham,US,37.6985,-77.6125,55.26,52,90,1.01,overcast clouds
266,Prokhorovka,RU,51.0374,36.7325,22.57,68,100,5.61,overcast clouds
267,Santa Maria,BR,-29.6842,-53.8069,81.7,54,20,6.91,few clouds
268,Merauke,ID,-8.4667,140.3333,81.23,79,100,3.78,overcast clouds
