City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Ginir,ET,2021-12-02 00:58:50,7.1333,40.7,53.58,39,84,3.44
163,Namatanai,PG,2021-12-02 00:58:50,-3.6667,152.4333,86.16,63,100,3.83
164,Vao,NC,2021-12-02 00:58:51,-22.6667,167.4833,76.69,78,58,17.69
165,Narsaq,GL,2021-12-02 00:56:37,60.9167,-46.05,32.18,99,100,20.69
166,Pringsewu,ID,2021-12-02 00:58:51,-5.3582,104.9744,79.57,77,98,2.17
167,Moose Factory,CA,2021-12-02 00:55:43,51.2585,-80.6094,15.8,86,90,9.22
168,Sao Filipe,CV,2021-12-02 00:54:53,14.8961,-24.4956,74.88,67,100,11.21
169,Ugoofaaru,MV,2021-12-02 00:58:52,5.6667,73.0,81.19,77,100,5.01
170,Codrington,AU,2021-12-02 00:55:39,-38.2667,141.9667,66.58,72,100,11.25
171,Lebu,CL,2021-12-02 00:58:52,-37.6167,-73.65,54.68,90,100,13.06
172,Ko Samui,TH,2021-12-02 00:58:22,9.5357,99.9357,81.28,77,50,18.5
173,Samarai,PG,2021-12-02 00:55:24,-10.6167,150.6667,86.16,72,100,12.21
174,Torbay,CA,2021-12-02 00:55:33,47.6666,-52.7314,37.67,84,90,8.05
175,Pevek,RU,2021-12-02 00:58:53,69.7008,170.3133,-7.65,94,100,6.22
176,Huilong,CN,2021-12-02 00:59:53,31.8111,121.655,49.03,49,0,9.6
177,Balkhash,KZ,2021-12-02 00:59:53,46.844,74.9804,28.24,62,0,9.82
178,Carutapera,BR,2021-12-02 00:59:54,-1.195,-46.02,80.8,77,94,8.59
179,Denpasar,ID,2021-12-02 00:58:59,-8.65,115.2167,82.06,83,40,3.44
180,Tuktoyaktuk,CA,2021-12-02 00:59:54,69.4541,-133.0374,-20.2,76,90,4.61
181,Sumbe,AO,2021-12-02 00:59:54,-11.2061,13.8437,76.82,89,100,7.29
182,Lagoa,PT,2021-12-02 00:59:55,39.05,-27.9833,62.51,85,1,9.91
183,Roma,US,2021-12-02 00:59:55,43.2128,-75.4557,37.89,83,100,3.0
184,Alanya,TR,2021-12-02 00:59:55,36.5438,31.9998,56.14,37,0,7.49
185,Juneau,US,2021-12-02 00:59:56,58.3019,-134.4197,37.4,90,90,10.36
186,Ponta Do Sol,PT,2021-12-02 00:59:56,32.6667,-17.1,65.71,72,19,5.86
